Zeitstempel,"Ich bestätige, dass ich die oben genannten Erklärungen gelesen und verstanden habe (bitte ankreuzen).",Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?,Welche Sprachaufnahme ist besser?
,,,,,,,,,,,,,
12.01.2023 11:23:56,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:24:29,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:25:20,Ja,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:25:37,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,,,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:25:46,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2
12.01.2023 11:26:23,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1
12.01.2023 11:28:00,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut
12.01.2023 11:28:11,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 ist deutlich besser als Audio 2,Audio 1 ist deutlich besser als Audio 2
12.01.2023 11:29:18,Ja,Audio 1 ist deutlich besser als Audio 2,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 ist deutlich besser als Audio 2,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut,Audio 1 und Audio 2 waren etwa gleich gut,Audio 2 ist deutlich besser als Audio 1,Audio 1 und Audio 2 waren etwa gleich gut
