video,id
FastSpeech-proposed-5,BQN3
FastSpeech-baseline-5,PVTJ
FastSpeech-proposed-3,RHCZ
FastSpeech-baseline-3,P3MZ
Tacotron-proposed-6,KZ84
Tacotron-baseline-6,FT29
FastSpeech-baseline-4,0UPP
FastSpeech-proposed-4,TYBZ
FastSpeech-proposed-2,MWZO
FastSpeech-baseline-2,I2XV
Tacotron-proposed-1,OY02
Tacotron-baseline-1,NNXL
Tacotron-proposed-4,38AE
Tacotron-baseline-4,FKYY
FastSpeech-baseline-1,YI11
FastSpeech-proposed-1,5JOD
Tacotron-proposed-5,PFS1
Tacotron-baseline-5,0X9C
Tacotron-proposed-2,N7JA
Tacotron-baseline-2,82KX
Tacotron-proposed-3,17Y0
Tacotron-baseline-3,QDIL
FastSpeech-proposed-6,253V
FastSpeech-baseline-6,S2E0
